"","titles","years"
"1","Wonder Woman",2017
"2","American Sniper",2014
"3","Saving Private Ryan",1998
"4","Gone with the Wind",1939
"5","Pearl Harbor",2001
"6","Dunkirk",2017
"7","Lincoln",2012
"8","Les Misérables",2012
"9","Platoon",1986
"10","Lone Survivor",2013
"11","Good Morning, Vietnam",1987
"12","Mulan",1998
"13","Inglourious Basterds",2009
"14","Fahrenheit 9/11",2004
"15","The Sum of All Fears",2002
"16","Unbroken",2014
"17","The Patriot",2000
"18","Doctor Zhivago",1965
"19","The Last Samurai",2003
"20","Tropic Thunder",2008
"21","Black Hawk Down",2001
"22","Cold Mountain",2003
"23","Master and Commander: The Far Side of the World",2003
"24","Crimson Tide",1995
"25","The Imitation Game",2014
"26","Fury",2014
"27","Stripes",1981
"28","Apocalypse Now",1979
"29","Valkyrie",2008
"30","MASH",1970
"31","Dear John",2010
"32","War Horse",2011
"33","The English Patient",1996
"34","We Were Soldiers",2002
"35","The Monuments Men",2014
"36","U-571",2000
"37","Hellboy II: The Golden Army",2008
"38","Braveheart",1995
"39","The Last of the Mohicans",1992
"40","Act of Valor",2012
"41","Born on the Fourth of July",1989
"42","Private Benjamin",1980
"43","Sahara",2005
"44","Hacksaw Ridge",2016
"45","Legends of the Fall",1994
"46","Jarhead",2005
"47","Patton",1970
"48","Rules of Engagement",2000
"49","Three Kings",1999
"50","The Lucky One",2012
"51","Behind Enemy Lines",2001
"52","Courage Under Fire",1996
"53","Life Is Beautiful",1997
"54","Darkest Hour",2017
"55","Dracula Untold",2014
"56","Legend of the Guardians: The Owls of Ga'Hoole",2010
"57","13 Hours",2016
"58","King Arthur",2004
"59","Enemy at the Gates",2001
"60","Atonement",2007
"61","A Bridge Too Far",1977
"62","Red Tails",2012
"63","Australia",2008
"64","The Deer Hunter",1978
"65","G.I. Jane",1997
"66","Kingdom of Heaven",2005
"67","Full Metal Jacket",1987
"68","12 Strong",2018
"69","The Dirty Dozen",1967
"70","The Bridge on the River Kwai",1957
"71","Lawrence of Arabia",1962
"72","Red Dawn",2012
"73","Tears of the Sun",2003
"74","War Dogs",2016
"75","Heartbreak Ridge",1986
"76","Max",2015
"77","Remake",2003
"78","Windtalkers",2002
"79","Allied",2016
"80","The Longest Day",1962
"81","Seven Years in Tibet",1997
"82","Pan's Labyrinth",2006
"83","The Thin Red Line",1998
"84","K-19: The Widowmaker",2002
"85","Green Zone",2010
